City,Location,Management,Date,Month,Day,Year,Intertegular.d,Head.w,I.D.,Neighborhood,Garden.area,Med.Income.scaled,City.med.income,Percent.income,popdens,DDG_15,DDG_16,CV_15,CV_16,scaled.garden,income,PGDD,15Temp
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.125,0.215,20162263,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.115,0.197,20162278,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.114,0.198,20162332,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.118,0.199,20162323,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.128,0.206,20162335,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.118,0.196,20162341,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.108,0.184,20162322,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.112,0.188,20162297,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.125,0.191,20162324,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.115,0.184,20162317,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.118,0.202,20162325,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.115,0.186,20162306,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.125,0.195,20162298,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.122,0.2,20162333,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.132,0.219,20162319,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.136,0.214,20162326,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.127,0.214,20162312,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.139,0.246,20162231,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.128,0.211,20162229,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
Chicago,Legends,urban.farm,29.Jun.16,June,29,2016,0.128,0.215,20162230,Little.Village,2888.2,3290,52497,62.67024782,18800,21.1733333,12.2366667,6.2362126,3.8356677,28.882,low,2038.55,21.18518518
